"","pattern_id","amount","amount_unit","amount_unit_concept_id","numerator","numerator_unit","denominator","denominator_unit","numerator_unit_concept_id","denominator_unit_concept_id","number_concepts","number_ingredients","valid","pattern_name","unit"
"31",26,NA,NA,NA,"numeric","milligram",NA,"liter",8576,8519,6,2,TRUE,"milligram_per_missing_liter","milligram"
"32",27,NA,NA,NA,"numeric","milligram",NA,"milligram",8576,8576,82299,2219,TRUE,"milligram_per_missing_milligram","milligram"
"33",28,NA,NA,NA,"numeric","milligram",NA,"milliliter",8576,8587,263654,4898,TRUE,"milligram_per_missing_milliliter","milligram"
"34",29,NA,NA,NA,"numeric","milliliter",NA,"milligram",8587,8576,44,9,TRUE,"milliliter_per_missing_milligram","milligram"
"35",30,NA,NA,NA,"numeric","milliliter",NA,"milliliter",8587,8587,2627,164,TRUE,"milliliter_per_missing_milliliter","milliliter"
"36",31,NA,NA,NA,"numeric","millimole",NA,"milligram",9573,8576,54,1,TRUE,"millimole_per_missing_milligram","milliliter"
"37",32,NA,NA,NA,"numeric","millimole",NA,"milliliter",9573,8587,479,36,TRUE,"millimole_per_missing_milliliter","millimole"
"38",NA,"numeric","50% cell culture infectious dose",9276,NA,NA,NA,NA,NA,NA,7,1,FALSE,NA,NA
"39",NA,"numeric","50% tissue culture infectious dose",9414,NA,NA,NA,NA,NA,NA,16,4,FALSE,NA,NA
"40",NA,"numeric","Actuation",45744809,NA,NA,NA,NA,NA,NA,4,1,FALSE,NA,NA
"41",NA,"numeric","bacteria",45744815,NA,NA,NA,NA,NA,NA,34,5,FALSE,NA,NA
"42",NA,"numeric","bioequivalent allergenic unit",45744810,NA,NA,NA,NA,NA,NA,4,1,FALSE,NA,NA
"43",NA,"numeric","cells",45744812,NA,NA,NA,NA,NA,NA,73,11,FALSE,NA,NA
"44",NA,"numeric","colony forming unit",9278,NA,NA,NA,NA,NA,NA,38,4,FALSE,NA,NA
"45",NA,"numeric","homeopathic potency of centesimal series",9324,NA,NA,NA,NA,NA,NA,2841,410,FALSE,NA,NA
"46",NA,"numeric","homeopathic potency of decimal series",9325,NA,NA,NA,"milligram",NA,8576,23,3,FALSE,NA,NA
"47",NA,"numeric","homeopathic potency of decimal series",9325,NA,NA,NA,NA,NA,NA,10661,925,FALSE,NA,NA
"48",NA,"numeric","index of reactivity",9693,NA,NA,NA,NA,NA,NA,30,8,FALSE,NA,NA
"49",NA,"numeric","limit of flocculation unit",45744814,NA,NA,NA,NA,NA,NA,2,1,FALSE,NA,NA
"50",NA,"numeric","microkatal",44777647,NA,NA,NA,NA,NA,NA,10,1,FALSE,NA,NA
"51",NA,"numeric","milligram",8576,NA,NA,NA,"Actuation",NA,45744809,5,1,FALSE,NA,NA
"52",NA,"numeric","milligram",8576,NA,NA,NA,"milligram",NA,8576,10,1,FALSE,NA,NA
"53",NA,"numeric","milliliter",8587,"numeric","percent",NA,NA,8554,NA,2,1,FALSE,NA,NA
"54",NA,"numeric","minim (US)",9367,NA,NA,NA,NA,NA,NA,2,1,FALSE,NA,NA
"55",NA,"numeric","plaque forming unit",9379,NA,NA,NA,NA,NA,NA,22,2,FALSE,NA,NA
"56",NA,"numeric","standardized quality unit",32407,NA,NA,NA,NA,NA,NA,5,2,FALSE,NA,NA
"57",NA,"numeric","unit",8510,NA,NA,NA,NA,NA,NA,24235,322,FALSE,NA,NA
"58",NA,NA,"50% cell culture infectious dose",9276,NA,NA,NA,NA,NA,NA,7,1,FALSE,NA,NA
"59",NA,NA,"allergenic unit",45744811,NA,NA,NA,NA,NA,NA,2,1,FALSE,NA,NA
"60",NA,NA,"bacteria",45744815,NA,NA,NA,NA,NA,NA,26,3,FALSE,NA,NA
"61",NA,NA,"bioequivalent allergenic unit",45744810,NA,NA,NA,NA,NA,NA,17,2,FALSE,NA,NA
"62",NA,NA,"cells",45744812,NA,NA,NA,NA,NA,NA,102,21,FALSE,NA,NA
"63",NA,NA,"colony forming unit",9278,NA,NA,NA,NA,NA,NA,2,1,FALSE,NA,NA
"64",NA,NA,"focus forming unit",9302,NA,NA,NA,NA,NA,NA,1,1,FALSE,NA,NA
"65",NA,NA,"homeopathic potency of centesimal series",9324,NA,NA,NA,NA,NA,NA,422,143,FALSE,NA,NA
"66",NA,NA,"homeopathic potency of decimal series",9325,NA,NA,NA,NA,NA,NA,5706,568,FALSE,NA,NA
"67",NA,NA,"index of reactivity",9693,NA,NA,NA,NA,NA,NA,15,3,FALSE,NA,NA
"68",NA,NA,"international unit",8718,NA,NA,NA,NA,NA,NA,182,21,FALSE,"international_unit",NA
"69",NA,NA,"millicurie",44819154,NA,NA,NA,NA,NA,NA,15,6,FALSE,"millicurie",NA
"70",NA,NA,"milligram",8576,NA,NA,NA,NA,NA,NA,190498,17164,FALSE,"milligram",NA
"71",NA,NA,"milliliter",8587,NA,NA,NA,NA,NA,NA,166,23,FALSE,"milliliter",NA
"72",NA,NA,"millimole",9573,NA,NA,NA,NA,NA,NA,67,4,FALSE,"millimole",NA
"73",NA,NA,"percent",8554,NA,NA,NA,NA,NA,NA,141,11,FALSE,NA,NA
"74",NA,NA,"plaque forming unit",9379,NA,NA,NA,NA,NA,NA,49,5,FALSE,NA,NA
"75",NA,NA,"unit",8510,NA,NA,NA,NA,NA,NA,9919,446,FALSE,NA,NA
"76",NA,NA,"Vector-genome",32018,NA,NA,NA,NA,NA,NA,10,2,FALSE,NA,NA
"77",NA,NA,NA,NA,"numeric","50% cell culture infectious dose","numeric","milliliter",9276,8587,18,5,FALSE,NA,NA
"78",NA,NA,NA,NA,"numeric","50% cell culture infectious dose",NA,"milliliter",9276,8587,23,5,FALSE,NA,NA
"79",NA,NA,NA,NA,"numeric","50% tissue culture infectious dose","numeric","milliliter",9414,8587,30,3,FALSE,NA,NA
"80",NA,NA,NA,NA,"numeric","50% tissue culture infectious dose",NA,"milliliter",9414,8587,27,3,FALSE,NA,NA
"81",NA,NA,NA,NA,"numeric","allergenic unit",NA,"milliliter",45744811,8587,40,4,FALSE,NA,NA
"82",NA,NA,NA,NA,"numeric","bacteria","numeric","milliliter",45744815,8587,13,3,FALSE,NA,NA
"83",NA,NA,NA,NA,"numeric","bacteria",NA,"milliliter",45744815,8587,15,3,FALSE,NA,NA
"84",NA,NA,NA,NA,"numeric","bioequivalent allergenic unit","numeric","milliliter",45744810,8587,33,4,FALSE,NA,NA
"85",NA,NA,NA,NA,"numeric","bioequivalent allergenic unit",NA,"milliliter",45744810,8587,120,14,FALSE,NA,NA
"86",NA,NA,NA,NA,"numeric","cells","numeric","milliliter",45744812,8587,345,30,FALSE,NA,NA
"87",NA,NA,NA,NA,"numeric","cells","numeric","square centimeter",45744812,9483,17,1,FALSE,NA,NA
"88",NA,NA,NA,NA,"numeric","cells",NA,"milliliter",45744812,8587,333,31,FALSE,NA,NA
"89",NA,NA,NA,NA,"numeric","cells",NA,"square centimeter",45744812,9483,14,1,FALSE,NA,NA
"90",NA,NA,NA,NA,"numeric","clinical unit",NA,"milliliter",45744813,8587,2,1,FALSE,NA,NA
"91",NA,NA,NA,NA,"numeric","colony forming unit","numeric","milliliter",9278,8587,3,1,FALSE,NA,NA
"92",NA,NA,NA,NA,"numeric","colony forming unit",NA,"milliliter",9278,8587,5,2,FALSE,NA,NA
"93",NA,NA,NA,NA,"numeric","focus forming unit","numeric","milliliter",9302,8587,12,5,FALSE,NA,NA
"94",NA,NA,NA,NA,"numeric","focus forming unit",NA,"milliliter",9302,8587,20,5,FALSE,NA,NA
"95",NA,NA,NA,NA,"numeric","homeopathic potency of centesimal series","numeric",NA,9324,NA,107,50,FALSE,NA,NA
"96",NA,NA,NA,NA,"numeric","homeopathic potency of centesimal series",NA,NA,9324,NA,2616,584,FALSE,NA,NA
"97",NA,NA,NA,NA,"numeric","homeopathic potency of decimal series","numeric",NA,9325,NA,8907,760,FALSE,NA,NA
"98",NA,NA,NA,NA,"numeric","homeopathic potency of decimal series",NA,NA,9325,NA,15662,1107,FALSE,NA,NA
"99",NA,NA,NA,NA,"numeric","index of reactivity","numeric","milliliter",9693,8587,6,1,FALSE,NA,NA
"100",NA,NA,NA,NA,"numeric","index of reactivity",NA,"milliliter",9693,8587,12,1,FALSE,NA,NA
"101",NA,NA,NA,NA,"numeric","limit of flocculation unit","numeric","milliliter",45744814,8587,101,3,FALSE,NA,NA
"102",NA,NA,NA,NA,"numeric","limit of flocculation unit",NA,"milliliter",45744814,8587,114,3,FALSE,NA,NA
"103",NA,NA,NA,NA,"numeric","milligram","numeric","square centimeter",8576,9483,229,12,FALSE,NA,NA
"104",NA,NA,NA,NA,"numeric","milligram","numeric","unit",8576,8510,23,2,FALSE,NA,NA
"105",NA,NA,NA,NA,"numeric","milligram",NA,"square centimeter",8576,9483,176,18,FALSE,NA,NA
"106",NA,NA,NA,NA,"numeric","milligram",NA,"unit",8576,8510,37,5,FALSE,NA,NA
"107",NA,NA,NA,NA,"numeric","percent","numeric",NA,8554,NA,626,5,FALSE,NA,NA
"108",NA,NA,NA,NA,"numeric","percent",NA,NA,8554,NA,883,14,FALSE,NA,NA
"109",NA,NA,NA,NA,"numeric","plaque forming unit","numeric","milliliter",9379,8587,167,16,FALSE,NA,NA
"110",NA,NA,NA,NA,"numeric","plaque forming unit",NA,"milliliter",9379,8587,179,17,FALSE,NA,NA
"111",NA,NA,NA,NA,"numeric","protein nitrogen unit",NA,"milliliter",45744816,8587,4,2,FALSE,NA,NA
"112",NA,NA,NA,NA,"numeric","unit","numeric","Actuation",8510,45744809,86,7,FALSE,NA,NA
"113",NA,NA,NA,NA,"numeric","unit","numeric","hour",8510,8505,3,2,FALSE,NA,NA
"114",NA,NA,NA,NA,"numeric","unit","numeric","milligram",8510,8576,7041,56,FALSE,NA,NA
"115",NA,NA,NA,NA,"numeric","unit","numeric","milliliter",8510,8587,27026,297,FALSE,NA,NA
"116",NA,NA,NA,NA,"numeric","unit","numeric","square centimeter",8510,9483,79,3,FALSE,NA,NA
"117",NA,NA,NA,NA,"numeric","unit","numeric","unit",8510,8510,23,4,FALSE,NA,NA
"118",NA,NA,NA,NA,"numeric","unit",NA,"Actuation",8510,45744809,87,7,FALSE,NA,NA
"119",NA,NA,NA,NA,"numeric","unit",NA,"milligram",8510,8576,4502,67,FALSE,NA,NA
"120",NA,NA,NA,NA,"numeric","unit",NA,"milliliter",8510,8587,20908,617,FALSE,NA,NA
"121",NA,NA,NA,NA,"numeric","unit",NA,"square centimeter",8510,9483,63,3,FALSE,NA,NA
"122",NA,NA,NA,NA,"numeric","unit",NA,"unit",8510,8510,17,4,FALSE,NA,NA
"123",NA,NA,NA,NA,"numeric","Vector-genome","numeric","milliliter",32018,8587,474,2,FALSE,NA,NA
"124",NA,NA,NA,NA,"numeric","Vector-genome",NA,"milliliter",32018,8587,32,2,FALSE,NA,NA
"125",NA,NA,NA,NA,"numeric",NA,NA,NA,NA,NA,76,5,FALSE,NA,NA
"126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,FALSE,NA,NA
